name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0,sold_in_last_month,status_code,BSR_classificationRanks_rank,BSR_displayGroupRanks_rank
"Havells D'zire 1000 watt Dry Iron With American Heritage Sole Plate, Aerodynamic Design, Easy Grip Temperature Knob & 2 ye...",appliances,All Appliances,https://m.media-amazon.com/images/I/61inNlr7DjL._AC_UL320_.jpg,https://www.amazon.in/Havells-Dzire-1000-Watt-Iron-Mint/dp/B07LDN9Q2P/ref=sr_1_409?qid=1679135610&s=appliances&sr=1-409,4.3,"6,548",₹968,"₹1,350",408.0,416,200.0,19,710
"Kuber Industries Multipurpose Refrigerator Drawer Mat|Circle Design & Water Proof Pvc Material|Size-48 Cm X 33 Cm, Pack Of...",appliances,All Appliances,https://m.media-amazon.com/images/I/71ZyQ-OrcxL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Pieces-Fridge-CTKTC6968/dp/B07R5RW34H/ref=sr_1_412_mod_primary_new?qid=1679135610&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-412,4.2,"3,314",₹192,₹228,411.0,464,200.0,19,713
"Prestige Nakshatra Plus Svachh Hard Anodised Spillage Control Handi Pressure Cooker, 3 L (Black)",appliances,All Appliances,https://m.media-amazon.com/images/I/71gsB36s2uL._AC_UL320_.jpg,https://www.amazon.in/Prestige-Svachh-Nakshatra-Anodised-Pressure/dp/B0843YLGC9/ref=sr_1_418?qid=1679135610&s=appliances&sr=1-418,4.2,"7,737","₹1,837","₹1,960",417.0,471,200.0,19,719
Havells Andria 1200mm Dust Resistant Ceiling Fan (Indigo Blue),appliances,All Appliances,https://m.media-amazon.com/images/I/41j5I1fwI8S._AC_UL320_.jpg,https://www.amazon.in/Havells-Andria-Ceiling-Indigo-Blue/dp/B089WVC776/ref=sr_1_421?qid=1679135610&s=appliances&sr=1-421,4.2,"3,577","₹2,798","₹3,475",420.0,478,200.0,19,721
"Hindware Smart Appliances Cruzo 46L Personal Air Cooler with Bacto Shield Honeycomb Pad, Inverter Compatible (Black & White)",appliances,All Appliances,https://m.media-amazon.com/images/I/61pBDiVOP2L._AC_UL320_.jpg,https://www.amazon.in/Hindware-Smart-Appliances-Honeycomb-Compatible/dp/B0BNN78W4L/ref=sr_1_426?qid=1679135610&s=appliances&sr=1-426,3.5,3,"₹6,299","₹14,990",425.0,335,200.0,19,726
"Lifelong LLEK15 Electric Kettle 1.5L with Stainless Steel Body, Easy and Fast Boiling of Water for Instant Noodles, Soup, ...",appliances,All Appliances,https://m.media-amazon.com/images/I/51dNVJiCl3S._AC_UL320_.jpg,https://www.amazon.in/Lifelong-LLEK15-Electric-Stainless-Warranty/dp/B096YCN3SD/ref=sr_1_428?qid=1679135610&s=appliances&sr=1-428,3.6,"1,542",₹549,"₹1,000",427.0,373,200.0,19,728
"LG 185 L 5 Star Inverter Direct-Cool Single Door Refrigerator (GL-D201ASCU, Scarlet Charm, Base stand with drawer)",appliances,All Appliances,https://m.media-amazon.com/images/I/61T4yGA9-oL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D201ASCU/dp/B0BRNX1TMX/ref=sr_1_429?qid=1679135610&s=appliances&sr=1-429,4.3,"2,170","₹17,590","₹22,199",428.0,449,200.0,19,729
"Kuber Industries Nylon Mesh Laundry Basket|Sturdy Material & Durable Handles|Netted Lightweight Laundry Bag, Size 36 x 36 ...",appliances,All Appliances,https://m.media-amazon.com/images/I/719I+zWOQBL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Laundry-Basket-CTKTC1475/dp/B07J2BQZD6/ref=sr_1_431?qid=1679135610&s=appliances&sr=1-431,3.7,"6,609",₹152,₹399,430.0,316,200.0,19,731
atomberg Renesa Smart + 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with iOT and Remote Control | Upto 65% Energy...,appliances,All Appliances,https://m.media-amazon.com/images/I/71+MurFn3hL._AC_UL320_.jpg,https://www.amazon.in/Gorilla-Renesa-Ceiling-control-Supported/dp/B07QKKCBS2/ref=sr_1_438?qid=1679135612&s=appliances&sr=1-438,4.2,"2,586","₹5,040","₹9,270",437.0,431,200.0,19,737
HAVELLS 400MM SWING WALL FAN OFF WHITE,appliances,All Appliances,https://m.media-amazon.com/images/I/41ueDbjypYL._AC_UL320_.jpg,https://www.amazon.in/Havells-Swing-400mm-Wall-White/dp/B00B4BCAVG/ref=sr_1_440?qid=1679135612&s=appliances&sr=1-440,4.0,"3,703","₹2,380","₹3,270",439.0,503,200.0,19,739
"Aquaguard Marvel NXT RO+UV+Taste Adjuster(MTDS) with Active Copper & Zinc 6.2L water purifier,7 stages purification,suitab...",appliances,All Appliances,https://m.media-amazon.com/images/I/418ay2LjTOL._AC_UL320_.jpg,https://www.amazon.in/Eureka-Forbes-Aquaguard-Countertop-Installation/dp/B09NKS8Q2V/ref=sr_1_445?qid=1679135612&s=appliances&sr=1-445,4.2,"1,859","₹12,999","₹22,000",444.0,441,200.0,19,743
"Bosch Appliances TrueMixx Pro Mixer Grinder, 750W, 4 Jars, Black",appliances,All Appliances,https://m.media-amazon.com/images/I/610yiAGFePL._AC_UL320_.jpg,https://www.amazon.in/Bosch-TrueMixx-Pro-750-Watt-Grinder/dp/B07NW2S7N1/ref=sr_1_446?qid=1679135612&s=appliances&sr=1-446,4.3,"6,526","₹5,799","₹9,099",445.0,509,200.0,19,744
BOSS E111 Portable 125 Watt Hand Blender (Grey),appliances,All Appliances,https://m.media-amazon.com/images/I/517xDOsc52L._AC_UL320_.jpg,https://www.amazon.in/E111-125-Watt-Portable-Blender-White/dp/B07NQGVNW1/ref=sr_1_450?qid=1679135612&s=appliances&sr=1-450,4.2,"3,829","₹1,260","₹1,595",449.0,438,200.0,19,748
"LG 242 L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX, Shiny Steel, Door Cooling+, Gross Volume-...",appliances,All Appliances,https://m.media-amazon.com/images/I/61vSQktJZnL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Frost-Free-Refrigerator-GL-I292RPZX/dp/B08X72GY5Q/ref=sr_1_454?qid=1679135612&s=appliances&sr=1-454,4.2,"2,156","₹25,990","₹37,099",453.0,479,200.0,19,752
"Wipro Vesta 360 Watts 4 in 1 Multicooker Egg Boiler|Concurrent Cooking|Boils up to 14 Eggs at a time |Steam Rice, Poach Eg...",appliances,All Appliances,https://m.media-amazon.com/images/I/71e7MoeCn3L._AC_UL320_.jpg,https://www.amazon.in/Wipro-Multicooker-Concurrent-Vegetable-Warranty/dp/B09YHRR949/ref=sr_1_457?qid=1679135613&s=appliances&sr=1-457,4.3,"1,550","₹1,623","₹2,590",456.0,504,200.0,19,755
"Havells Efficiencia Neo 1200mm BLDC Motor with remote Ceiling Fan (Elegant White), 26 Watt, Winner of “National Energy Con...",appliances,All Appliances,https://m.media-amazon.com/images/I/41ZtHebyhuL._AC_UL320_.jpg,https://www.amazon.in/Havells-Efficiencia-Neo-1200-Ceiling/dp/B081HKZB56/ref=sr_1_462?qid=1679135613&s=appliances&sr=1-462,4.0,"2,645","₹3,298","₹3,965",461.0,510,200.0,19,759
"Crompton Instabliss 3-L Instant Water Heater (Geyser) With Advanced 4 Level Safety, Wall Mounting",appliances,All Appliances,https://m.media-amazon.com/images/I/41J4W4lznFL._AC_UL320_.jpg,https://www.amazon.in/Crompton-InstaBliss-Instant-Heater-Advanced/dp/B09WMTJPG7/ref=sr_1_463?qid=1679135613&s=appliances&sr=1-463,4.1,"15,411","₹3,449","₹4,400",462.0,521,200.0,19,760
"Samsung 223 L 3 Star Inverter Direct-Cool Single Door Refrigerator (RR24C2Y23S8/NL, Silver, Elegant Inox)",appliances,All Appliances,https://m.media-amazon.com/images/I/615scRHGkgL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR24C2Y23S8-NL/dp/B0BR3XYG77/ref=sr_1_464?qid=1679135613&s=appliances&sr=1-464,4.2,"1,931","₹17,090","₹22,999",463.0,497,200.0,19,761
"FreshDcart Mini Pocket Weight Scale Digital Jewellery/Chem/Kitchen Small Weighing Machine with Auto Calibration, Tare Full...",appliances,All Appliances,https://m.media-amazon.com/images/I/61clZcYtTKL._AC_UL320_.jpg,https://www.amazon.in/FreshDcart-Jewellery-Weighing-Calibration-Operational/dp/B07RBPBWXT/ref=sr_1_465?qid=1679135613&s=appliances&sr=1-465,3.9,"1,803",₹399,₹899,464.0,317,200.0,19,762
"Amazon Basics 300 W Hand Blender with Detachable Stem and In-Built Cord Hook, ISI-Marked, Black",appliances,All Appliances,https://m.media-amazon.com/images/I/41fe4eDWuYL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Basics-Blender-Detachable-ISI-Marked/dp/B0B9RY7TW8/ref=sr_1_468?qid=1679135613&s=appliances&sr=1-468,4.0,79,₹799,"₹1,299",467.0,497,200.0,19,764
"Philips Viva Collection HR1863/20 2-Litre Juicer (Black/Silver), 800 W",appliances,All Appliances,https://m.media-amazon.com/images/I/61-aoVEq8UL._AC_UL320_.jpg,https://www.amazon.in/Philips-Viva-Collection-HR1863-20/dp/B00GOWJVXA/ref=sr_1_469?qid=1679135613&s=appliances&sr=1-469,4.2,"4,558","₹9,649","₹12,995",468.0,455,200.0,19,765
"Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)",appliances,All Appliances,https://m.media-amazon.com/images/I/51oE3HQLpPL._AC_UL320_.jpg,https://www.amazon.in/Sujata-Dynamix-900W-900-Watt-Mixer-Grinder/dp/B078JT7LTD/ref=sr_1_471?qid=1679135613&s=appliances&sr=1-471,4.6,"2,882","₹6,049","₹8,073",470.0,452,200.0,19,767
"Prestige Popular Max 5 + 3 + 2 Litre Aluminium Outer Lid Pressure Cooker Combo Pack, 2 Lids, Silver, Large (11791)",appliances,All Appliances,https://m.media-amazon.com/images/I/71X8mkZXN9S._AC_UL320_.jpg,https://www.amazon.in/Prestige-Popular-Aluminium-Pressure-11791/dp/B095S9KLY8/ref=sr_1_472?qid=1679135613&s=appliances&sr=1-472,3.9,"1,810","₹2,849","₹5,010",471.0,423,200.0,19,768
Polycab Etira 1200 mm High Speed Anti Rust Ceiling Fan with 2 years warranty (Matt Brown),appliances,All Appliances,https://m.media-amazon.com/images/I/51KHtd3ZpEL._AC_UL320_.jpg,https://www.amazon.in/Polycab-Etira-Speed-Ceiling-warranty/dp/B0BQF1QXQP/ref=sr_1_475?qid=1679135613&s=appliances&sr=1-475,4.0,353,"₹1,389","₹2,150",474.0,492,200.0,19,771
"AGARO Regency Multi Cook Kettle With Steamer, 1.2L Inner Pot, Double Layered Body, Variable Temperature Settings, Wide Mou...",appliances,All Appliances,https://m.media-amazon.com/images/I/711CP52U9RL._AC_UL320_.jpg,https://www.amazon.in/AGARO-Variable-Temperature-Settings-Vegetable/dp/B071P7183Y/ref=sr_1_476?qid=1679135613&s=appliances&sr=1-476,4.2,153,"₹1,599","₹2,499",475.0,429,200.0,19,772
"Philips HD6975/00 Digital Oven Toaster Grill, 25 Litre OTG, 1500 Watt with Opti Temp Technology, Chamber light and 10 pres...",appliances,All Appliances,https://m.media-amazon.com/images/I/618O0ywM1SL._AC_UL320_.jpg,https://www.amazon.in/Philips-HD6975-00-25-Litre-Digital/dp/B07P1BR7L8/ref=sr_1_479?qid=1679135613&s=appliances&sr=1-479,4.4,"8,383","₹8,599","₹11,995",478.0,451,200.0,19,775
"Samsung 345L 3 Star Inverter Frost Free Double Door Refrigerator (RT37T4513S8/HL, Elegant Inox, Convertible 5In 1)",appliances,All Appliances,https://m.media-amazon.com/images/I/615bB8LCnrL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Refrigerator-RT37T4513S8-HL-Convertible/dp/B08345Q835/ref=sr_1_480?qid=1679135613&s=appliances&sr=1-480,4.3,"2,606","₹35,990","₹47,990",479.0,430,200.0,19,776
"Morphy Richards Europa Drip 600-Watt 6-cup Drip Coffee Maker, Gloss Black, Regular (350012)",appliances,All Appliances,https://m.media-amazon.com/images/I/61iKvcMlvgL._AC_UL320_.jpg,https://www.amazon.in/Morphy-Richards-600-Watt-Regular-350012/dp/B09G9MVJ64/ref=sr_1_481?qid=1679135615&s=appliances&sr=1-481,4.0,301,"₹1,799","₹3,095",480.0,437,200.0,19,777
Eco Crystal J 5 inch Cartridge (Pack of 2),appliances,All Appliances,https://m.media-amazon.com/images/I/51HNxyoM3-L._AC_UL320_.jpg,https://www.amazon.in/Crystal-Cartridge-size-Fresh-Clean/dp/B01MRARGBW/ref=sr_1_482?qid=1679135615&s=appliances&sr=1-482,4.1,"1,446",₹195,₹300,481.0,486,200.0,19,778
Wipro Vesta Grill 1000 Watt Sandwich Maker|Standard Size |Dual function-SW Maker&Griller|Non stick-BPA&PTFE Free |Auto Tem...,appliances,All Appliances,https://m.media-amazon.com/images/I/41166DM0lBL._AC_UL320_.jpg,https://www.amazon.in/Wipro-Sandwich-function-SW-warranty-Standard/dp/B0B2DD8BQ8/ref=sr_1_486?qid=1679135615&s=appliances&sr=1-486,4.1,393,"₹2,079","₹3,099",485.0,415,200.0,19,782
Wonderchef Platinum 750W Mixer Grinder | 4 Stainless Steel Jars with Fruit Filter Jar | Powerful 750W motor | 3-Speed & Pu...,appliances,All Appliances,https://m.media-amazon.com/images/I/51u6VlNHoxL._AC_UL320_.jpg,https://www.amazon.in/Wonderchef-Platinum-Stainless-Anti-Rust-Ergonomic/dp/B093DM6ZLQ/ref=sr_1_487?qid=1679135615&s=appliances&sr=1-487,3.6,"1,290","₹2,999","₹6,000",486.0,425,200.0,19,783
"Prestige PKOSS 1.8 Litre Kettle, Red",appliances,All Appliances,https://m.media-amazon.com/images/I/511wIb+y8BL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PKOSS-1-8-Kettle-Red/dp/B07XRVWCDD/ref=sr_1_488?qid=1679135615&s=appliances&sr=1-488,3.8,"14,790",₹825,"₹1,295",487.0,390,200.0,19,784
"Blue Star 1.5 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, D...",appliances,All Appliances,https://m.media-amazon.com/images/I/515BpZfhH1L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Convertible-IA318FNU/dp/B09RG2SZVX/ref=sr_1_493?qid=1679135615&s=appliances&sr=1-493,3.9,700,"₹35,990","₹62,250",492.0,385,200.0,19,789
"LG 1.5 Ton 2 Star DUAL Inverter Split AC (Copper, Convertible 4-in-1 Cooling, HD Filter with Anti-virus Protection, 2023 M...",appliances,All Appliances,https://m.media-amazon.com/images/I/511JKTNA+7L._AC_UL320_.jpg,https://www.amazon.in/LG-Convertible-Anti-virus-Protection-RS-Q18ZNVE/dp/B0BPYKMM2M/ref=sr_1_496?qid=1679135615&s=appliances&sr=1-496,4.0,540,"₹33,490","₹62,990",495.0,494,200.0,19,792
"Sujata Grinder Steel Jar, 1000 ml, (White)",appliances,All Appliances,https://m.media-amazon.com/images/I/61ncqAO6LJL._AC_UL320_.jpg,https://www.amazon.in/SUJATA-Grinder-Jar-with-Handle/dp/B01N4T2TPN/ref=sr_1_500?qid=1679135615&s=appliances&sr=1-500,4.3,"1,047",₹849,₹855,499.0,476,200.0,19,796
"IBELL WINDP10 Pedestal Fan 5 Leaf with Remote and High Air Flow,406mm, 55W, High Speed, 100% Copper & Timer Function, Black",appliances,All Appliances,https://m.media-amazon.com/images/I/71p4859X4HL._AC_UL320_.jpg,https://www.amazon.in/iBELL-WINDP10-Pedestal-Remote-Function/dp/B07SYJ7WCS/ref=sr_1_501?qid=1679135615&s=appliances&sr=1-501,3.9,"2,497","₹2,957","₹4,890",500.0,426,200.0,19,797
"Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",appliances,All Appliances,https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU12YKY5W/dp/B0BRHYBC3D/ref=sr_1_504?qid=1679135615&s=appliances&sr=1-504,4.3,"2,178","₹38,990","₹54,600",503.0,467,200.0,19,800
"Godrej 6.5 Kg Fully-Automatic Top Loading Washing Machine (WTEON 650 AP GPGR, Graphite Grey, I-Wash Technology)",appliances,All Appliances,https://m.media-amazon.com/images/I/61-MVE47XbL._AC_UL320_.jpg,https://www.amazon.in/Godrej-Fully-Automatic-Loading-Graphite-Technology/dp/B0BDS827M5/ref=sr_1_506?qid=1679135617&s=appliances&sr=1-506,4.1,"3,102","₹12,990","₹19,600",505.0,464,200.0,19,802
Black + Decker BD BXIR2201IN 2200-Watt Cord & Cordless Steam Iron (Green),appliances,All Appliances,https://m.media-amazon.com/images/I/61zHaO1KFgL._AC_UL320_.jpg,https://www.amazon.in/Black-Decker-BXIR2201IN-2200-Watt-Cordless/dp/B07D2NMTTV/ref=sr_1_508?qid=1679135617&s=appliances&sr=1-508,4.2,"2,007","₹3,199","₹4,895",507.0,453,200.0,19,804
"V-Guard Crystal Plus Smart TV Stabilizer with Digital Display for 140 cm (55"") TV + Set Top Box + Home Theatre System/Gami...",appliances,All Appliances,https://m.media-amazon.com/images/I/51WXYyj6H0L._AC_UL320_.jpg,https://www.amazon.in/V-Guard-Stabilizer-Crystal-Plus-Smart/dp/B0724ZQDYX/ref=sr_1_509?qid=1679135617&s=appliances&sr=1-509,4.4,"6,389","₹3,499","₹3,750",508.0,464,200.0,19,805
"PrettyKrafts Tom & Jerry Folding Laundry Basket for Clothes with Lid & Handle (75 Litre, Green)",appliances,All Appliances,https://m.media-amazon.com/images/I/51E3dRvMTRL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Folding-Laundry-Clothes-Organiser/dp/B08W9BK4MD/ref=sr_1_511?qid=1679135617&s=appliances&sr=1-511,3.7,400,₹351,₹899,510.0,427,200.0,19,807
"AGARO Marvel Oven Toaster Grill with Motorized Rotisserie & 5 Heating Modes (Black, 25 litres)",appliances,All Appliances,https://m.media-amazon.com/images/I/51oWBnyPgVL._AC_UL320_.jpg,https://www.amazon.in/Agaro-M25-25-Litre-Toaster-Rotisserie/dp/B07GQZPDG1/ref=sr_1_512?qid=1679135617&s=appliances&sr=1-512,4.1,"9,691","₹3,799","₹4,999",511.0,400,200.0,19,808
"AmazonBasics 1500W Electric Kettle (Stainless Steel body, 1.5L)",appliances,All Appliances,https://m.media-amazon.com/images/I/71uU8--o7CL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Basics-Electric-Kettle-Stainless/dp/B0B2DZ5S6R/ref=sr_1_513?qid=1679135617&s=appliances&sr=1-513,3.9,547,₹599,"₹1,099",512.0,303,200.0,19,809
Purifit Washing Machine Filter & Water Softener for Washing Machine with Advanced Layers of Filtration | Removes Limescale...,appliances,All Appliances,https://m.media-amazon.com/images/I/61lUIDVUh4S._AC_UL320_.jpg,https://www.amazon.in/PURIFIT-Washing-Machine-Protects-Chlorine/dp/B07TM3LRVB/ref=sr_1_514?qid=1679135617&s=appliances&sr=1-514,3.9,"1,983","₹1,078","₹2,999",513.0,418,200.0,19,810
"Whirlpool 184 L 2 Star Direct-Cool Single Door Refrigerator (205 WDE PRM 2S SAPPHIRE BLOOM-Z, 2023 Model)",appliances,All Appliances,https://m.media-amazon.com/images/I/51b0MWxiRXL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Direct-Cool-Refrigerator-SAPPHIRE-BLOOM-Z/dp/B0BSRV1YGK/ref=sr_1_517?qid=1679135617&s=appliances&sr=1-517,3.1,8,"₹12,890","₹17,000",516.0,311,200.0,19,813
Candes Nexo 600 mm 24 Inch Ultra High Speed 4 Blade Ceiling Fan (Silver Blue),appliances,All Appliances,https://m.media-amazon.com/images/I/613iXP1zsGL._AC_UL320_.jpg,https://www.amazon.in/Candes-Nexo-Ultra-Ceiling-Silver/dp/B0BHTF21NT/ref=sr_1_518?qid=1679135617&s=appliances&sr=1-518,4.5,15,"₹1,199","₹2,199",517.0,517,200.0,19,814
"Prestige Omega Select Plus Residue Free Non-Stick Kitchen Set, 3-Pieces, black/Silver, Aluminium",appliances,All Appliances,https://m.media-amazon.com/images/I/81TYaxHRl2L._AC_UL320_.jpg,https://www.amazon.in/Prestige-Non-Stick-3-Pieces-Gas-stove-compatible/dp/B00EICKVUA/ref=sr_1_519?qid=1679135617&s=appliances&sr=1-519,4.1,"11,555","₹1,699","₹3,500",518.0,427,200.0,19,815
"wipro Vesta 1380W Cordless Steam Iron Quick heat up with 20gm/ min Steam Burst, Scratch resistant Ceramic soleplate ,Verti...",appliances,All Appliances,https://m.media-amazon.com/images/I/51sbfaL-cNL._AC_UL320_.jpg,https://www.amazon.in/Cordless-resistant-soleplate-Vertical-Horizontal/dp/B09WF4Q7B3/ref=sr_1_521?qid=1679135617&s=appliances&sr=1-521,3.6,889,"₹1,799","₹2,599",520.0,316,200.0,19,817
"Agaro HVC1081 Cordless Rechargeable Car Vacuum Cleaner, Portable, Handheld,110W, 5.5KPA Power Socket,Stainless Steel Filte...",appliances,All Appliances,https://m.media-amazon.com/images/I/81kQlYwtSfL._AC_UL320_.jpg,https://www.amazon.in/Cordless-Rechargeable-Portable-Handheld-Stainless/dp/B09V7YQJPT/ref=sr_1_522?qid=1679135617&s=appliances&sr=1-522,4.1,177,"₹2,899","₹4,599",521.0,507,200.0,19,818
Pringle Crown 2 Jar Mixer Grinder| 500W Powerful Motor | [ISI] Certified | 304 Grade Stainless Steel Blade| 2 Stainless St...,appliances,All Appliances,https://m.media-amazon.com/images/I/617hYwTGJeL._AC_UL320_.jpg,https://www.amazon.in/Crown-Powerful-Certified-Stainless-Liquidizing/dp/B0BTW3YZGY/ref=sr_1_527?qid=1679135617&s=appliances&sr=1-527,3.9,38,"₹1,099","₹3,840",526.0,373,200.0,19,822
Stylista Waterproof Front Load Washing Machine Cover Compatible for LG 8 kg & 9 Kg Grey,appliances,All Appliances,https://m.media-amazon.com/images/I/41w-je6e5bS._AC_UL320_.jpg,https://www.amazon.in/Stylista-Waterproof-Washing-Machine-Compatible/dp/B083TYKGL4/ref=sr_1_528?qid=1679135617&s=appliances&sr=1-528,4.0,"1,080",₹499,₹899,527.0,454,200.0,19,823
"WHOLE MART® Plastic Portable Travel Cosmetics Bottles Plastic Pressing Spray Bottle for Cosmetic, Makeup, Toiletries Liqui...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41lP8FRlwmL._AC_UL320_.jpg,https://www.amazon.in/WHOLE-Portable-Cosmetics-Toiletries-Containers/dp/B07TQD5338/ref=sr_1_529?qid=1679135619&s=appliances&sr=1-529,4.2,333,₹299,₹659,528.0,412,200.0,19,824
"Kuvings B1700 Dark Silver Professional Cold Press Whole Slow Juicer, Patented JMCS Technology for 10% More Juice, 12 Years...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71EqgKLhTtL._AC_UL320_.jpg,https://www.amazon.in/Kuvings-Professional-Press-Juicer-B1700/dp/B07DLCZT11/ref=sr_1_530?qid=1679135619&s=appliances&sr=1-530,4.6,"9,251","₹21,900","₹35,900",529.0,482,200.0,19,825
"Usha FP 3811 Food Processor 1000 Watts Copper Motor with 13 Accessories(Premium SS Finish), Black and Steel",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/719Snr1CXOL._AC_UL320_.jpg,https://www.amazon.in/Usha-Processor-Premium-Finish-FP3811/dp/B07QY3L2BT/ref=sr_1_532?qid=1679135619&s=appliances&sr=1-532,3.8,"4,069","₹11,299","₹16,890",531.0,339,200.0,19,827
Jaipur Ace Indian White Marble Roti Maker with Wooden Belan/White Marble Chakla 10 Inch Diameter with Belan (White Marble ...,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51ouNWX1MyL._AC_UL320_.jpg,https://www.amazon.in/Jaipur-Indian-Marble-Wooden-Diameter/dp/B089KFC7XF/ref=sr_1_537?qid=1679135619&s=appliances&sr=1-537,4.3,"3,227",₹559,₹899,536.0,501,200.0,19,832
"Panasonic SR-WA22H (E) Automatic Rice Cooker, Apple Green, 2.2 Liters",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/419H62Is66L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-SR-WA22H-5-4-Litre-Automatic-Cooker/dp/B00A328ENA/ref=sr_1_538?qid=1679135619&s=appliances&sr=1-538,4.2,"3,815","₹2,910","₹3,945",537.0,486,200.0,19,833
"Luminous Zelio+ 1100 Pure Sinewave 900VA/12V Inverter for Home, Office and Shop",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51qsB-hH5PL._AC_UL320_.jpg,https://www.amazon.in/Luminous-Zelio-1100-Sinewave-Inverter/dp/B01994DUMW/ref=sr_1_540?qid=1679135619&s=appliances&sr=1-540,4.2,"8,851","₹6,799","₹10,000",539.0,469,200.0,19,835
Pigeon by Stovekraft Copper Coil Rapido Cute Induction Cooktop (Black),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/616CGp2O7YL._AC_UL320_.jpg,https://www.amazon.in/Pigeon-Rapido-Cute-Induction-Cooktop/dp/B00ET1G91A/ref=sr_1_541?qid=1679135619&s=appliances&sr=1-541,3.7,"2,732","₹1,599","₹3,195",540.0,376,200.0,19,836
"InstaCuppa Automatic Probiotic-Rich Yogurt Maker with Auto Temperature Regulation, Easy To Operate Electric Curd Maker Mac...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/619ekpmDNCL._AC_UL320_.jpg,https://www.amazon.in/InstaCuppa-Automatic-Probiotic-Rich-Temperature-Regulation/dp/B0B5NJP8K6/ref=sr_1_542?qid=1679135619&s=appliances&sr=1-542,4.3,319,₹999,"₹1,499",541.0,494,200.0,19,837
"Prestige PSMFB 800 Watt Sandwich Toaster with Fixed Plates, Black",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81u9XBaknQL._AC_UL320_.jpg,https://www.amazon.in/Prestige-PSMFB-Sandwich-Toaster-Plates/dp/B00935MGHS/ref=sr_1_543?qid=1679135619&s=appliances&sr=1-543,4.1,"6,082","₹1,199","₹1,795",542.0,488,200.0,19,838
"Prestige Delight PRWO Electric Rice Cooker (1 Liter, White)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51p0+IgokML._AC_UL320_.jpg,https://www.amazon.in/Prestige-Delight-PRWO-1-Litre-Electric/dp/B01M6453MB/ref=sr_1_548?qid=1679135619&s=appliances&sr=1-548,4.1,"4,172","₹2,190","₹3,045",547.0,482,200.0,19,843
"AGARO Regal Electric Rice Cooker, 3 Liters Ceramic Inner Bowl, Cooks Up to 600 Gms Raw Rice, SS Steamer, Preset Cooking Fu...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71dMjbFAPHL._AC_UL320_.jpg,https://www.amazon.in/AGARO-Regal-Electric-Ceramic-functions/dp/B09XHXXCFH/ref=sr_1_549?qid=1679135619&s=appliances&sr=1-549,4.1,469,"₹3,685","₹5,495",548.0,499,200.0,19,844
